slug,instrument,window,treatment,score_gap_min,illiberal_cutoff,incl_election_year,score_gap_spec,score_gap_form,illiberal_cutoff_spec,illiberal_cutoff_form,n_elections,n_treated,first_stage_coef,first_stage_pval,run_at
instr-antiplural_w9_trt-ert_gapany_illibany_exclyr,v2xpa_antiplural,9,backsliding_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,221,0.006,0.9266,2026-09-06 23:12:27
instr-antiplural_w9_trt-ertOrDdcg_gapany_illibany_exclyr,v2xpa_antiplural,9,backsliding_union_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,246,0.0122,0.8466,2026-09-06 23:12:28
instr-antiplural_w10_trt-ert_gapany_illibany_exclyr,v2xpa_antiplural,10,backsliding_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,248,0.0083,0.9041,2026-09-06 23:12:59
instr-antiplural_w10_trt-ertOrDdcg_gapany_illibany_exclyr,v2xpa_antiplural,10,backsliding_union_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,273,0.0234,0.7265,2026-09-06 23:12:59
instr-popul_w1_trt-ert_gapany_illibany_exclyr,v2xpa_popul,1,backsliding_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,32,0.0346,0.1801,2026-09-06 23:13:34
instr-popul_w1_trt-ertOrDdcg_gapany_illibany_exclyr,v2xpa_popul,1,backsliding_union_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,42,0.0586,0.1074,2026-09-06 23:13:35
instr-popul_w2_trt-ert_gapany_illibany_exclyr,v2xpa_popul,2,backsliding_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,55,0.0241,0.4849,2026-09-06 23:14:06
instr-popul_w2_trt-ertOrDdcg_gapany_illibany_exclyr,v2xpa_popul,2,backsliding_union_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,68,0.0416,0.3463,2026-09-06 23:14:07
instr-popul_w3_trt-ert_gapany_illibany_exclyr,v2xpa_popul,3,backsliding_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,86,0.0109,0.8117,2026-09-06 23:14:37
instr-popul_w3_trt-ertOrDdcg_gapany_illibany_exclyr,v2xpa_popul,3,backsliding_union_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,100,0.028,0.5925,2026-09-06 23:14:38
instr-popul_w4_trt-ert_gapany_illibany_exclyr,v2xpa_popul,4,backsliding_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,109,-0.0173,0.7388,2026-09-06 23:15:08
instr-popul_w4_trt-ertOrDdcg_gapany_illibany_exclyr,v2xpa_popul,4,backsliding_union_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,129,-0.0056,0.9237,2026-09-06 23:15:09
instr-popul_w5_trt-ert_gapany_illibany_exclyr,v2xpa_popul,5,backsliding_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,142,0.0187,0.7429,2026-09-06 23:15:39
instr-popul_w5_trt-ertOrDdcg_gapany_illibany_exclyr,v2xpa_popul,5,backsliding_union_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,165,0.0365,0.5715,2026-09-06 23:15:40
instr-popul_w6_trt-ert_gapany_illibany_exclyr,v2xpa_popul,6,backsliding_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,164,0.0171,0.7591,2026-09-06 23:16:11
instr-popul_w6_trt-ertOrDdcg_gapany_illibany_exclyr,v2xpa_popul,6,backsliding_union_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,186,0.0524,0.4308,2026-09-06 23:16:12
instr-popul_w7_trt-ert_gapany_illibany_exclyr,v2xpa_popul,7,backsliding_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,177,-0.0156,0.781,2026-09-06 23:16:43
instr-popul_w7_trt-ertOrDdcg_gapany_illibany_exclyr,v2xpa_popul,7,backsliding_union_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,201,0.0267,0.694,2026-09-06 23:16:44
instr-popul_w8_trt-ert_gapany_illibany_exclyr,v2xpa_popul,8,backsliding_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,202,-0.0191,0.728,2026-09-06 23:17:14
instr-popul_w8_trt-ertOrDdcg_gapany_illibany_exclyr,v2xpa_popul,8,backsliding_union_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,226,0.0265,0.7035,2026-09-06 23:17:15
instr-popul_w9_trt-ert_gapany_illibany_exclyr,v2xpa_popul,9,backsliding_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,221,0.0041,0.9432,2026-09-06 23:17:47
instr-popul_w9_trt-ertOrDdcg_gapany_illibany_exclyr,v2xpa_popul,9,backsliding_union_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,246,0.044,0.5486,2026-09-06 23:17:47
instr-popul_w10_trt-ert_gapany_illibany_exclyr,v2xpa_popul,10,backsliding_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,248,0.0133,0.8342,2026-09-06 23:18:19
instr-popul_w10_trt-ertOrDdcg_gapany_illibany_exclyr,v2xpa_popul,10,backsliding_union_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,273,0.0318,0.6334,2026-09-06 23:18:20
instr-econleft_w1_trt-ert_gapany_illibany_exclyr,v2pariglef_neg,1,backsliding_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,32,0.0331,0.1609,2026-09-06 23:18:55
instr-econleft_w1_trt-ertOrDdcg_gapany_illibany_exclyr,v2pariglef_neg,1,backsliding_union_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,42,0.0223,0.5113,2026-09-06 23:18:56
instr-econleft_w2_trt-ert_gapany_illibany_exclyr,v2pariglef_neg,2,backsliding_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,55,0.0089,0.7949,2026-09-06 23:19:26
instr-econleft_w2_trt-ertOrDdcg_gapany_illibany_exclyr,v2pariglef_neg,2,backsliding_union_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,68,-0.0109,0.7973,2026-09-06 23:19:26
instr-econleft_w3_trt-ert_gapany_illibany_exclyr,v2pariglef_neg,3,backsliding_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,86,0.0228,0.6055,2026-09-06 23:19:59
instr-econleft_w3_trt-ertOrDdcg_gapany_illibany_exclyr,v2pariglef_neg,3,backsliding_union_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,100,-9e-04,0.9861,2026-09-06 23:20:00
instr-econleft_w4_trt-ert_gapany_illibany_exclyr,v2pariglef_neg,4,backsliding_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,109,0.0553,0.2988,2026-09-06 23:20:32
instr-econleft_w4_trt-ertOrDdcg_gapany_illibany_exclyr,v2pariglef_neg,4,backsliding_union_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,129,0.0256,0.6632,2026-09-06 23:20:32
instr-econleft_w5_trt-ert_gapany_illibany_exclyr,v2pariglef_neg,5,backsliding_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,142,0.0854,0.1477,2026-09-06 23:21:03
instr-econleft_w5_trt-ertOrDdcg_gapany_illibany_exclyr,v2pariglef_neg,5,backsliding_union_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,165,0.0558,0.3946,2026-09-06 23:21:04
instr-econleft_w6_trt-ert_gapany_illibany_exclyr,v2pariglef_neg,6,backsliding_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,164,0.0557,0.2979,2026-09-06 23:21:34
instr-econleft_w6_trt-ertOrDdcg_gapany_illibany_exclyr,v2pariglef_neg,6,backsliding_union_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,186,0.0615,0.3486,2026-09-06 23:21:35
instr-econleft_w7_trt-ert_gapany_illibany_exclyr,v2pariglef_neg,7,backsliding_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,177,0.0642,0.2598,2026-09-06 23:22:06
instr-econleft_w7_trt-ertOrDdcg_gapany_illibany_exclyr,v2pariglef_neg,7,backsliding_union_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,201,0.0716,0.3009,2026-09-06 23:22:07
instr-econleft_w8_trt-ert_gapany_illibany_exclyr,v2pariglef_neg,8,backsliding_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,202,0.0186,0.736,2026-09-06 23:22:38
instr-econleft_w8_trt-ertOrDdcg_gapany_illibany_exclyr,v2pariglef_neg,8,backsliding_union_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,226,0.0508,0.4724,2026-09-06 23:22:38
instr-econleft_w9_trt-ert_gapany_illibany_exclyr,v2pariglef_neg,9,backsliding_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,221,0.0434,0.4628,2026-09-06 23:23:10
instr-econleft_w9_trt-ertOrDdcg_gapany_illibany_exclyr,v2pariglef_neg,9,backsliding_union_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,246,0.0702,0.3452,2026-09-06 23:23:11
instr-econleft_w10_trt-ert_gapany_illibany_exclyr,v2pariglef_neg,10,backsliding_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,248,0.1087,0.116,2026-09-06 23:23:41
instr-econleft_w10_trt-ertOrDdcg_gapany_illibany_exclyr,v2pariglef_neg,10,backsliding_union_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,273,0.0695,0.2914,2026-09-06 23:23:42
instr-antiplural_w1_trt-polyarchy_gapany_illibany_exclyr,v2xpa_antiplural,1,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,NA,0.0016,0.8987,2026-09-07 04:15:06
instr-antiplural_w2_trt-polyarchy_gapany_illibany_exclyr,v2xpa_antiplural,2,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,NA,0.0127,0.4467,2026-09-07 04:15:08
instr-antiplural_w3_trt-polyarchy_gapany_illibany_exclyr,v2xpa_antiplural,3,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,NA,0.0154,0.3862,2026-09-07 04:15:10
instr-antiplural_w4_trt-polyarchy_gapany_illibany_exclyr,v2xpa_antiplural,4,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,NA,0.0143,0.4283,2026-09-07 04:15:11
instr-antiplural_w6_trt-polyarchy_gapany_illibany_exclyr,v2xpa_antiplural,6,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,NA,0.0252,0.1931,2026-09-07 04:15:14
instr-antiplural_w7_trt-polyarchy_gapany_illibany_exclyr,v2xpa_antiplural,7,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,NA,0.0147,0.5163,2026-09-07 04:15:16
instr-antiplural_w8_trt-polyarchy_gapany_illibany_exclyr,v2xpa_antiplural,8,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,NA,0.0174,0.4729,2026-09-07 04:15:17
instr-antiplural_w9_trt-polyarchy_gapany_illibany_exclyr,v2xpa_antiplural,9,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,NA,0.0237,0.3718,2026-09-07 04:15:18
instr-antiplural_w10_trt-polyarchy_gapany_illibany_exclyr,v2xpa_antiplural,10,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,NA,0.027,0.322,2026-09-07 04:15:20
instr-popul_w1_trt-polyarchy_gapany_illibany_exclyr,v2xpa_popul,1,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,NA,-0.0091,0.4775,2026-09-07 04:15:22
instr-popul_w2_trt-polyarchy_gapany_illibany_exclyr,v2xpa_popul,2,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,NA,0.0064,0.6833,2026-09-07 04:15:23
instr-popul_w3_trt-polyarchy_gapany_illibany_exclyr,v2xpa_popul,3,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,NA,0.0061,0.7231,2026-09-07 04:15:25
instr-popul_w4_trt-polyarchy_gapany_illibany_exclyr,v2xpa_popul,4,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,NA,-4e-04,0.9805,2026-09-07 04:15:26
instr-popul_w5_trt-polyarchy_gapany_illibany_exclyr,v2xpa_popul,5,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,NA,-0.0095,0.5911,2026-09-07 04:15:28
instr-popul_w6_trt-polyarchy_gapany_illibany_exclyr,v2xpa_popul,6,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,NA,-0.0037,0.8474,2026-09-07 04:15:30
instr-popul_w7_trt-polyarchy_gapany_illibany_exclyr,v2xpa_popul,7,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,NA,0.0014,0.9449,2026-09-07 04:15:31
instr-popul_w8_trt-polyarchy_gapany_illibany_exclyr,v2xpa_popul,8,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,NA,0.0031,0.8932,2026-09-07 04:15:33
instr-popul_w9_trt-polyarchy_gapany_illibany_exclyr,v2xpa_popul,9,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,NA,-0.004,0.8637,2026-09-07 04:15:34
instr-popul_w10_trt-polyarchy_gapany_illibany_exclyr,v2xpa_popul,10,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,NA,-9e-04,0.9702,2026-09-07 04:15:36
instr-econleft_w1_trt-polyarchy_gapany_illibany_exclyr,v2pariglef_neg,1,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,NA,-0.0054,0.6645,2026-09-07 04:15:37
instr-econleft_w2_trt-polyarchy_gapany_illibany_exclyr,v2pariglef_neg,2,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,NA,-0.0073,0.6512,2026-09-07 04:15:39
instr-econleft_w3_trt-polyarchy_gapany_illibany_exclyr,v2pariglef_neg,3,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,NA,-0.01,0.5802,2026-09-07 04:15:41
instr-econleft_w4_trt-polyarchy_gapany_illibany_exclyr,v2pariglef_neg,4,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,NA,-0.0103,0.5583,2026-09-07 04:15:42
instr-econleft_w5_trt-polyarchy_gapany_illibany_exclyr,v2pariglef_neg,5,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,NA,-0.0141,0.4285,2026-09-07 04:15:44
instr-econleft_w6_trt-polyarchy_gapany_illibany_exclyr,v2pariglef_neg,6,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,NA,-0.015,0.4288,2026-09-07 04:15:45
instr-econleft_w7_trt-polyarchy_gapany_illibany_exclyr,v2pariglef_neg,7,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,NA,-0.0109,0.6181,2026-09-07 04:15:47
instr-econleft_w8_trt-polyarchy_gapany_illibany_exclyr,v2pariglef_neg,8,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,NA,-0.0078,0.7446,2026-09-07 04:15:48
instr-econleft_w9_trt-polyarchy_gapany_illibany_exclyr,v2pariglef_neg,9,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,NA,-0.0108,0.6523,2026-09-07 04:15:50
instr-econleft_w10_trt-polyarchy_gapany_illibany_exclyr,v2pariglef_neg,10,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1343,NA,-0.007,0.7738,2026-09-07 04:15:51
instr-antiplural_w5_trt-polyarchy_gapany_illibany_exclyr,v2xpa_antiplural,5,polyarchy_decline,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,NA,0.0175,0.3351,2026-09-07 12:55:27
instr-antiplural_w5_trt-polyarchyBin_gapany_illibany_exclyr,v2xpa_antiplural,5,polyarchy_declined,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,496,0.0146,0.8617,2026-09-07 12:55:32
instr-antiplural_w5_trt-ert_gapany_illibany_exclyr,v2xpa_antiplural,5,backsliding_Nyr,-Inf,-Inf,FALSE,-Inf,none,-Inf,none,1347,142,-0.0252,0.6613,2026-09-20 15:39:41
